,playerID,H_x,AB,Average
2361,douthta01,1201,4127,0.2910104191906954
2365,dowdto01,1493,5514,0.27076532462821906
2369,downeto01,520,2170,0.23963133640552994
2370,downibr01,2099,7853,0.2672863873678849
2371,downsma01,121,527,0.22960151802656548
2372,downsre01,179,790,0.22658227848101264
2376,doylede01,823,3290,0.2501519756838906
2377,doyleja01,1809,6048,0.29910714285714285
2381,doylela01,1887,6509,0.28990628360731296
2382,doziebr01,835,3332,0.25060024009603843
2385,drakede01,308,1172,0.2627986348122867
2394,dressch01,603,2215,0.27223476297968396
2397,drewjd01,1437,5173,0.2777885173013725
2399,drewst01,1109,4403,0.25187372246195777
2400,driesda01,1464,5479,0.2672020441686439
2401,drillle01,231,896,0.2578125
2406,dropowa01,1113,4124,0.2698836081474297
2408,drurybr01,261,962,0.2713097713097713
2410,duceyro01,309,1279,0.24159499609069585
2411,dudalu01,644,2665,0.24165103189493434
2413,duffech01,518,1943,0.26659804426145134
2415,duffych01,187,713,0.26227208976157085
2417,duffyfr01,619,2665,0.2322701688555347
2418,duffyhu01,2293,7044,0.3255252697331062
2419,duffyma01,271,966,0.2805383022774327
2422,duganjo01,1516,5410,0.28022181146025876
2427,dukesel01,199,824,0.24150485436893204
2429,duncach01,295,1147,0.25719267654751526
2430,duncada01,617,2885,0.21386481802426344
2433,duncama01,1247,4677,0.26662390421210175
2434,duncapa01,827,2695,0.3068645640074211
2435,duncash01,200,885,0.22598870056497175
2437,duncave01,307,1100,0.2790909090909091
2438,dundogu01,168,833,0.20168067226890757
2439,dungasa01,464,1543,0.30071289695398573
2449,dunstsh01,1597,5927,0.2694449131094989
2450,dunwoto01,213,915,0.23278688524590163
2455,durazer01,547,1948,0.28080082135523615
2457,durhale01,992,3587,0.2765542235851687
2458,durhara01,2054,7408,0.27726781857451405
2461,durocle01,1320,5350,0.2467289719626168
2463,durstce01,269,1103,0.24388032638259294
2464,duvalad01,307,1276,0.24059561128526646
2467,dwyerji01,719,2761,0.26041289387902933
2469,dybzije01,213,909,0.23432343234323433
2470,dyckji01,242,983,0.2461851475076297
2471,dyeje01,1779,6487,0.2742407892708494
2472,dyerdu01,441,1993,0.2212744606121425
2474,dykstle01,1298,4559,0.28471155955253347
2476,dysonja01,442,1711,0.25832846288720046
2483,earlho01,127,513,0.2475633528265107
2485,earlyja01,532,2208,0.24094202898550723
2486,easleda01,1386,5484,0.2527352297592998
2488,easlemi01,1078,3677,0.29317378297525154
2489,eastehe01,203,1129,0.17980513728963685
2490,eastelu01,472,1725,0.2736231884057971
2493,eastete01,607,2020,0.3004950495049505
2496,eatonad02,609,2141,0.2844465203176086
2498,echevan01,152,543,0.27992633517495397
2501,eckstda01,1414,5041,0.2804999008133307
2506,edmonji01,1949,6858,0.284193642461359
2507,edwarbr01,429,1675,0.25611940298507463
2508,edwarda01,152,640,0.2375
2509,edwardo01,216,906,0.23841059602649006
2510,edwarha01,613,2191,0.2797809219534459
2511,edwarjo01,1106,4577,0.24164299759667904
2513,edwarmi01,220,879,0.2502844141069397
2518,egandi01,767,3080,0.24902597402597404
2519,eganto01,196,979,0.20020429009193055
2521,eggleda01,697,2544,0.27397798742138363
2523,eichrik01,121,516,0.23449612403100775
2524,eisenji01,1160,3995,0.2903629536921151
2526,elberki01,1235,4561,0.2707739530804648
2532,ellerfr01,389,1453,0.2677219545767378
2534,elliobo01,2061,7141,0.2886150399103767
2541,ellisaj01,425,1797,0.23650528658875905
2544,ellisja01,139,554,0.2509025270758123
2545,ellisjo01,699,2672,0.2616017964071856
2546,ellisma01,1343,5117,0.26245847176079734
2548,ellisru01,517,1985,0.26045340050377835
2549,ellsbja01,1376,4846,0.283945522080066
2552,elsteke01,648,2844,0.22784810126582278
2560,encared01,1582,5963,0.2653026999832299
2561,encarju01,1264,4685,0.2697972251867663
2566,englecl01,748,2822,0.26506024096385544
2567,engleda01,431,1643,0.26232501521606816
2569,engligi01,194,791,0.24525916561314792
2570,engliwo01,1356,4746,0.2857142857142857
2571,ennisde01,2063,7254,0.2843948166528812
2574,ensbemo01,579,2204,0.26270417422867515
2582,epstemi01,695,2854,0.24351786965662228
2588,erstada01,1697,6024,0.2817065073041169
2590,erwinte01,150,635,0.23622047244094488
2591,esaskni01,677,2703,0.2504624491305956
2597,escobal02,1255,4822,0.2602654500207383
2600,escobyu01,1501,5315,0.2824082784571966
2601,esmonji01,406,1540,0.2636363636363636
2602,espinda01,644,2910,0.22130584192439862
2605,espossa01,164,792,0.20707070707070707
2606,espyce01,304,1248,0.24358974358974358
2607,essegch01,260,1018,0.2554027504911591
2608,essiaji01,453,1855,0.24420485175202156
2609,estalbo01,620,2196,0.28233151183970856
2610,estalbo02,195,904,0.2157079646017699
2611,esterdu01,741,2837,0.261191399365527
2613,estrajo01,576,2079,0.27705627705627706
2614,etchean01,615,2618,0.23491214667685256
2617,ethiean01,1367,4800,0.28479166666666667
2618,ettenni01,921,3320,0.27740963855421685
2620,eusebto01,479,1739,0.27544565842438185
2623,evansal01,514,2053,0.2503653190452996
2624,evansba01,126,501,0.25149700598802394
2625,evansda01,2223,8973,0.2477432296890672
2626,evansdw01,2446,8996,0.27189862160960426
2627,evansjo01,529,2043,0.258932941752325
2630,evansst01,963,3359,0.2866924679964275
2633,everead01,668,2758,0.2422044960116026
2634,evereca01,1304,4809,0.2711582449573716
2635,everibi01,902,2842,0.31738212526389864
2637,eversho01,1055,3801,0.2775585372270455
2638,eversjo01,1659,6137,0.2703275215903536
2646,ezzelho01,196,742,0.2641509433962264
2647,faatzja01,274,1135,0.24140969162995596
2648,fabrejo01,441,1827,0.2413793103448276
2650,faedole01,133,529,0.2514177693761815
2652,faheybi01,225,934,0.24089935760171305
2655,fainfe01,1139,3930,0.28982188295165395
2656,faireji01,180,766,0.2349869451697128
2658,fairlro01,1913,7184,0.2662861915367483
2660,falkbi01,1463,4652,0.3144883920894239
2667,fanzoca01,132,588,0.22448979591836735
2676,farrasi01,905,3573,0.25328855303666387
2678,farredo01,467,1799,0.2595886603668705
2679,farredu01,1572,5682,0.27666314677930304
2681,farreja02,877,3613,0.2427345696097426
2682,farreja03,171,746,0.2292225201072386
2683,farrejo01,345,1489,0.23169912693082606
2684,farrejo02,567,2172,0.2610497237569061
2687,fasansa01,245,1109,0.22091974752028856
2691,febleca01,414,1656,0.25
2697,feldemi01,564,2262,0.2493368700265252
2699,felixgu01,561,2046,0.27419354838709675
2700,felixju01,562,2132,0.26360225140712945
2701,felizpe01,1065,4254,0.25035260930888575
2703,felscha01,825,2812,0.2933854907539118
2705,fennefr01,781,3042,0.2567389875082183
2707,fergujo01,719,3001,0.23958680439853383
2708,fermife01,718,2767,0.2594868088182147
2709,fernach01,666,2778,0.23974082073434125
2712,fernafr01,145,727,0.19944979367262725
2714,fernana01,336,1356,0.24778761061946902
2715,fernato01,2276,7911,0.2877006699532297
2716,ferraal01,358,1382,0.2590448625180897
2718,ferreri01,1692,6028,0.28069011280690115
2720,ferriho01,1146,4800,0.23875
2722,fewstch01,506,1963,0.25776872134488027
2724,fickro01,613,2373,0.258322798145807
2726,fieldce01,1313,5157,0.25460539073104516
2729,fieldjo02,167,713,0.23422159887798036
2730,fieldpr01,1645,5821,0.2825974918398901
2734,figgich01,1298,4701,0.2761114656456073
2742,finigji01,422,1600,0.26375
2746,finnelo01,1329,4631,0.28697905419995684
2747,finnne01,274,1044,0.2624521072796935
2749,fioremi01,126,556,0.22661870503597123
2751,fischmi01,207,941,0.2199787460148778
2752,fischwi01,301,1099,0.27388535031847133
2754,fishebo01,480,1742,0.2755453501722158
2765,fiskca01,2356,8756,0.26907263590680675
2766,fislewe01,414,1335,0.3101123595505618
2769,fitzged01,542,2086,0.2598274209012464
2773,fitzgmi02,545,2316,0.23531951640759932
2777,fitzped01,158,697,0.2266857962697274
2779,flackma01,1461,5252,0.27817974105102816
2781,flagsir01,1202,4139,0.29040831118627686
2782,flahejo01,849,3372,0.251779359430605
2790,flannti01,631,2473,0.25515568135867367
2793,flemile01,369,1330,0.2774436090225564
2795,fletcar01,1534,5541,0.27684533477711604
2796,fletcda01,1048,3902,0.2685802152742183
2797,fletcel01,1323,4879,0.27116212338593976
2800,fletcsc01,1376,5258,0.2616964625332826
2801,flickel01,1752,5597,0.3130248347328926
2804,flintsi01,687,2913,0.23583934088568487
2805,floodcu01,1861,6357,0.29274815164385715
2806,floodti01,190,816,0.23284313725490197
2809,floreje02,226,937,0.24119530416221985
2813,florewi01,385,1480,0.26013513513513514
2814,floripe01,150,717,0.20920502092050208
2815,floweja01,433,1693,0.25575900767867693
2816,flowety01,448,1865,0.24021447721179626
2819,floydcl01,1479,5319,0.27805978567399886
2822,flynndo01,918,3853,0.23825590449000777
2830,foileha01,353,1455,0.24261168384879725
2834,foleywi01,224,982,0.22810590631364563
2835,foliti01,1515,6047,0.25053745659004467
2836,fondyde01,1000,3502,0.2855511136493432
2838,fontemi01,374,1413,0.2646850672328379
2839,fonvich01,133,546,0.24358974358974358
2840,footeba01,489,2127,0.229901269393512
2843,fordcu01,182,742,0.24528301886792453
2844,fordda01,1123,4163,0.2697573865001201
2847,fordho01,1269,4833,0.26256983240223464
2848,fordle01,425,1585,0.26813880126182965
2849,fordte01,156,711,0.21940928270042195
2850,fordybr01,467,1807,0.2584394023242944
2851,forstto01,131,666,0.1966966966966967
2853,forsylo01,600,2398,0.25020850708924103
2854,fossera01,758,2957,0.2563408860331417
2856,fosteed02,1490,5652,0.2636234961075725
2858,fostege01,1925,7023,0.274099387726043
2860,fostepo01,260,924,0.2813852813852814
2862,fostero01,257,1016,0.2529527559055118
2864,fothebo01,1064,3269,0.32548179871520344
2868,fowlede01,1112,4154,0.2676937891189215
2870,foxan01,461,1925,0.2394805194805195
2876,foxne01,2663,9232,0.2884532062391681
2878,foxpe01,1678,5636,0.2977288857345635
2879,foyjo01,615,2484,0.24758454106280192
2880,francbe01,400,1579,0.253324889170361
2881,francju01,2586,8677,0.29802927279013486
2882,francju02,235,996,0.2359437751004016
2883,francma02,375,1516,0.24736147757255936
2884,francti01,1395,5121,0.27240773286467485
2885,frandke01,322,1246,0.25842696629213485
2892,fraziad01,156,552,0.2826086956521739
2896,frazilo01,138,548,0.2518248175182482
2897,frazito01,820,3345,0.24514200298953662
2898,fredejo01,954,3102,0.30754352030947774
2900,freedro01,176,717,0.24546722454672246
2901,freehbi01,1591,6073,0.2619792524287831
2902,freelry01,532,1983,0.2682803832576904
2904,freemfr01,1084,3738,0.28999464954521137
2905,freemje01,142,579,0.2452504317789292
2908,freesda01,907,3316,0.2735223160434258
2910,freesge02,877,3446,0.2544979686593151
2911,fregoji01,1726,6523,0.26460217691246357
2913,freigho01,537,1974,0.27203647416413373
2918,frencji01,119,607,0.19604612850082373
2921,frencwa01,297,981,0.30275229357798167
2922,freylo01,1482,5517,0.2686242523110386
2924,friaspe01,323,1346,0.2399702823179792
2928,frienow01,136,598,0.22742474916387959
2932,friscfr01,2880,9112,0.3160667251975417
2935,frobedo01,109,542,0.2011070110701107
2937,fryeje01,626,2155,0.2904872389791183
2940,frymatr01,1776,6481,0.2740317852183305
2943,fuentti01,1491,5566,0.26787639238232125
2945,fukudko01,498,1929,0.2581648522550544
2952,fullesh01,863,3678,0.2346383904295813
2953,fulleve01,182,785,0.2318471337579618
2954,fullich01,548,1855,0.2954177897574124
2955,fullmbr01,778,2789,0.27895302975977054
2957,fultzda01,648,2393,0.27078980359381527
2959,funkli01,261,976,0.26741803278688525
2960,furcara01,1817,6477,0.280531110081828
2961,furilca01,1910,6378,0.29946691752900595
2966,gabrile02,446,1764,0.2528344671201814
2969,gagliph01,336,1411,0.23812898653437278
2971,gagnegr01,1440,5673,0.25383395029085143
2974,gainede01,438,1608,0.27238805970149255
2976,gainejo01,186,771,0.24124513618677043
2978,galanau01,1706,5937,0.2873505137274718
2979,galaran01,2333,8096,0.28816699604743085
2981,gallaal01,333,1264,0.2634493670886076
2984,gallada01,564,2081,0.2710235463719366
2992,gallemi01,700,2931,0.23882633913340157
2996,galloch01,946,3583,0.2640245604242255
2998,gallojo01,117,582,0.20103092783505155
2999,galvifr01,555,2265,0.24503311258278146
3004,gamblos01,1195,4502,0.26543758329631273
3005,gamelbe01,149,557,0.26750448833034113
3008,gandich01,1176,4245,0.27703180212014133
3010,ganlebo01,540,2129,0.25364020666979803
3012,gantejo01,148,545,0.27155963302752295
3013,gantro01,1651,6449,0.2560086835168243
3015,ganzech01,774,2987,0.2591228657515902
3016,ganzejo01,682,2715,0.25119705340699816
3018,garagjo01,481,1872,0.2569444444444444
3021,garbeba01,167,626,0.26677316293929715
3023,garciad01,239,896,0.26674107142857145
3025,garciav01,540,1947,0.2773497688751926
3026,garcica01,580,2178,0.2662993572084481
3028,garcida01,1108,3914,0.28308635666836995
3032,garcigr01,140,544,0.25735294117647056
3035,garcika01,352,1463,0.24060150375939848
3036,garciki01,351,1470,0.23877551020408164
3040,garcino01,1747,5586,0.31274615109201576
3041,garcipe01,395,1797,0.21981079577072898
3044,gardeda01,145,543,0.26703499079189685
3045,gardero01,165,710,0.2323943661971831
3048,gardnbi02,841,3544,0.23730248306997742
3049,gardnbr01,1107,4199,0.26363419861871873
3050,gardnea01,249,948,0.2626582278481013
3052,gardnla01,1931,6688,0.2887260765550239
3055,garkory01,427,1552,0.27512886597938147
3056,garmsde01,910,3111,0.2925104468016715
3059,garneph01,1594,6136,0.25977835723598436
3061,garrewa01,786,3285,0.23926940639269406
3063,garrifo01,180,687,0.26200873362445415
3064,garrigi01,207,872,0.23738532110091742
3067,garrra01,1562,5108,0.3057948316366484
3069,garvest01,2599,8835,0.29417091114883986
3073,gastoal01,112,514,0.2178988326848249
3074,gastoci01,799,3120,0.25608974358974357
3075,gatesbr01,616,2329,0.26449119793902964
3078,gathrjo01,309,1175,0.2629787234042553
3080,gattiev01,513,2036,0.25196463654223966
3083,gautrdo01,207,806,0.25682382133995035
3090,gedmari01,795,3159,0.251661918328585
3091,gehrich01,2839,8860,0.32042889390519186
3092,gehrilo01,2721,8001,0.3400824896887889
3093,geierph01,327,1315,0.24866920152091254
3094,geninfr01,116,514,0.22568093385214008
3096,gentiji01,759,2922,0.2597535934291581
3103,gerbewa01,1309,5099,0.25671700333398706
3104,gerenbo01,178,765,0.2326797385620915
3105,gerhajo01,939,4140,0.22681159420289856
3106,gerhake01,136,615,0.22113821138211381
3109,germaes01,284,1016,0.2795275590551181
3110,gernedi01,632,2493,0.25350982751704776
3111,geronce01,977,3780,0.25846560846560845
3113,gerutjo01,472,1804,0.2616407982261641
3114,gessldo01,831,2969,0.2798922196025598
3116,gettmja01,215,772,0.27849740932642486
3117,getzch01,352,1409,0.24982256919801277
3118,getzgu01,265,1114,0.2378815080789946
3120,gharrpa01,513,1961,0.2616012238653748
3121,giambja01,2010,7267,0.2765928168432641
3122,giambje01,372,1417,0.26252646436132676
3126,giavojo01,318,1246,0.2552166934189406
3127,gibboja01,759,2917,0.26019883441892355
3129,gibbsja01,382,1639,0.23306894447834045
3134,gibsofr01,317,1155,0.27445887445887446
3135,gibsoge01,893,3776,0.2364936440677966
3136,gibsoki01,1553,5798,0.26785098309761984
3137,gibsoru01,181,794,0.22795969773299748
3141,gilbe01,381,1610,0.23664596273291927
3143,gilbebi02,695,2816,0.24680397727272727
3145,gilbech01,195,852,0.22887323943661972
3151,gilbepe01,184,761,0.24178712220762155
3154,gilbewa01,624,2317,0.26931376780319377
3155,gilbrro01,356,1436,0.2479108635097493
3157,gilesbr01,162,709,0.22849083215796898
3158,gilesbr02,1897,6527,0.29063888463306264
3159,gilesma01,813,2934,0.2770961145194274
3161,gilge01,189,820,0.2304878048780488
3164,gilhofr01,289,1068,0.2705992509363296
3166,gilkebe01,1115,4061,0.2745629155380448
3167,gillaco01,357,1424,0.25070224719101125
3168,gilleca01,261,1004,0.2599601593625498
3172,gillepe01,809,2927,0.27639221045439016
3175,gilliba01,386,1865,0.20697050938337802
3177,gilliji01,1889,7119,0.26534625649669896
3183,gilmogr01,269,941,0.2858660998937301
3189,ginsbjo01,414,1716,0.24125874125874125
3190,ginteke01,236,971,0.243048403707518
3191,gionfal01,154,580,0.2655172413793103
3194,girarjo01,1100,4127,0.2665374363944754
3195,giulito01,157,674,0.23293768545994065
3199,glanvdo01,1100,3964,0.27749747729566093
3200,glaustr01,1375,5410,0.2541589648798521
3202,glavito01,259,1008,0.2569444444444444
3203,gleasbi01,907,3395,0.2671575846833579
3205,gleasha01,206,944,0.21822033898305085
3206,gleasja01,384,1425,0.2694736842105263
3208,gleesji01,336,1277,0.2631166797180893
3212,glenned01,106,525,0.2019047619047619
3215,glennjo01,366,1372,0.26676384839650147
3216,glennjo02,181,718,0.2520891364902507
3219,glossal01,199,952,0.20903361344537816
3220,glynnbi01,170,684,0.24853801169590642
3221,gochnjo01,170,908,0.18722466960352424
3234,goldsgo01,123,510,0.2411764705882353
3236,goldspa01,1010,3382,0.29863985807214666
3241,goliami01,186,825,0.22545454545454546
3244,gomesya01,446,1831,0.2435827416712179
3246,gomezca01,1097,4278,0.25642823749415616
3247,gomezch01,142,627,0.22647527910685805
3248,gomezch02,1206,4604,0.2619461337966985
3250,gomezle02,466,1916,0.24321503131524008
3255,gondeje01,220,876,0.2511415525114155
3256,gonzaad01,2010,6970,0.2883787661406026
3257,gonzaal01,1209,4977,0.24291742013261
3258,gonzaal02,1418,5776,0.24549861495844874
3260,gonzaca01,1275,4425,0.288135593220339
3266,gonzafe01,244,1038,0.2350674373795761
3267,gonzajo02,144,676,0.21301775147928995
3268,gonzaju02,228,969,0.23529411764705882
3269,gonzaju03,1936,6556,0.2953020134228188
3271,gonzalu01,2591,9157,0.28295293218302936
3272,gonzalu02,248,875,0.2834285714285714
3273,gonzama01,529,1977,0.26757713707637837
3274,gonzami01,717,2829,0.25344644750795337
3277,gonzape01,264,1084,0.24354243542435425
3279,gonzato01,1485,5195,0.2858517805582291
3281,goochjo01,662,2363,0.28015234870926786
3286,goodmbi01,1691,5644,0.29961020552799433
3287,goodmiv01,1104,3928,0.28105906313645623
3290,goodsed01,329,1266,0.2598736176935229
3292,goodwcu01,251,1014,0.24753451676528598
3293,goodwda01,150,636,0.2358490566037736
3294,goodwpe01,142,603,0.23548922056384744
3295,goodwto01,1029,3846,0.2675507020280811
3299,gordoal01,1337,5166,0.2588075880758808
3300,gordode01,828,2823,0.29330499468650373
3301,gordojo01,1530,5707,0.2680918170667601
3304,gordosi01,1415,4992,0.28345352564102566
3306,gorege01,1612,5357,0.3009146910584282
3313,goryljo01,134,595,0.22521008403361345
3314,gosean01,271,1128,0.2402482269503546
3316,gosgeji01,411,1815,0.22644628099173553
3317,gosligo01,2735,8656,0.31596580406654345
3319,gosseph01,137,508,0.26968503937007876
3320,gossho01,113,522,0.2164750957854406
3321,gotayju01,257,988,0.2601214574898785
3322,gotayru01,185,726,0.2548209366391185
3324,gourryu01,192,659,0.291350531107739
3326,gowdyha01,738,2735,0.26983546617915904
3327,grababi01,274,1161,0.2360034453057709
3330,grabojo01,206,816,0.25245098039215685
3331,graceea01,493,1877,0.2626531699520511
3332,gracejo01,442,1561,0.28315182575272263
3335,gradymi01,884,3008,0.29388297872340424
3339,graffto01,746,2810,0.26548042704626335
3345,grahaja01,179,775,0.23096774193548386
3353,grammal01,512,2073,0.24698504582730343
3354,grandcu01,1659,6576,0.2522810218978102
3355,grandya01,441,1840,0.23967391304347826
3357,granted01,844,3385,0.24933530280649926
3358,grantge01,1508,4989,0.3022649829625175
3361,grassmi01,216,957,0.22570532915360503
3367,grayga01,150,625,0.24
3373,grebecr01,518,1988,0.2605633802816901
3377,greenbi01,490,2170,0.22580645161290322
3379,greenda01,1021,3484,0.2930539609644087
3380,greenda03,374,1398,0.2675250357653791
3381,greendi01,960,4007,0.239580733715997
3383,greenge01,307,1151,0.26672458731537796
3385,greenha01,1628,5193,0.31349894088195646
3387,greenji02,482,1793,0.26882320133853876
3389,greenkh01,628,2567,0.24464355278535255
3390,greenle01,788,2956,0.2665764546684709
3391,greenmi01,1400,4623,0.30283365779796667
3393,greenpu01,196,796,0.24623115577889448
3395,greensh01,2003,7082,0.282829709121717
3397,greento02,397,1573,0.25238397965670695
3398,greenty02,151,675,0.2237037037037037
3399,greenwi01,446,1902,0.23449001051524712
3401,greered01,183,851,0.21504112808460635
3402,greerru01,1166,3829,0.3045181509532515
3403,greggto01,214,880,0.2431818181818182
3404,gregodi01,604,2268,0.26631393298059963
3406,gremmed01,356,1420,0.2507042253521127
3408,greybi01,250,1033,0.2420135527589545
3410,grichbo01,1833,6890,0.2660377358490566
3411,grichra01,321,1291,0.24864446165762974
3413,grievbe01,864,3215,0.2687402799377916
3414,grievto01,474,1907,0.248557944415312
3415,griffal01,1688,6780,0.24896755162241888
3416,griffbe01,174,581,0.29948364888123924
3418,griffdo01,524,2136,0.24531835205992508
3419,griffiv01,164,638,0.25705329153605017
3421,griffke01,2143,7229,0.29644487480979387
3422,griffke02,2781,9801,0.2837465564738292
3423,griffmi01,1755,5923,0.2963025493837582
3425,griffsa01,173,630,0.2746031746031746
3427,griffto01,1383,4947,0.27956337174044876
3428,griggar01,379,1370,0.27664233576642333
3429,grigsde01,179,620,0.2887096774193548
3431,grimeos01,469,1832,0.25600436681222705
3432,grimera01,505,1537,0.328562134027326
3434,grimmch01,2299,7917,0.29038777314639386
3435,grimsmy01,229,894,0.25615212527964204
3436,grissma02,2251,8275,0.27202416918429
3437,groatdi01,2138,7484,0.2856761090326029
3438,grohhe01,1774,6074,0.292064537372407
3441,grossem01,291,987,0.2948328267477204
3442,grossga01,349,1461,0.23887748117727584
3444,grossro01,347,1380,0.2514492753623188
3446,groteje01,1092,4339,0.25167089191057845
3448,grothjo01,1064,3808,0.27941176470588236
3449,grovero01,156,690,0.22608695652173913
3451,grubbjo01,1153,4154,0.277563793933558
3452,grubefr01,274,1125,0.24355555555555555
3453,grubeke01,818,3159,0.2589427033871478
3454,grudzma01,2040,7052,0.2892796369824163
3459,guerrma01,578,2251,0.2567747667703243
3460,guerrmi01,382,1581,0.24161922833649588
3461,guerrpe01,1618,5392,0.3000741839762611
3462,guerrvl01,2590,8155,0.31759656652360513
3463,guerrwi01,473,1678,0.28188319427890346
3465,guielaa01,239,970,0.2463917525773196
3466,guillca01,1331,4673,0.2848277337898566
3467,guilljo01,1591,5888,0.270210597826087
3468,guilloz01,1764,6686,0.26383487885133117
3477,gullite01,151,612,0.24673202614379086
3480,gunnito01,110,537,0.2048417132216015
3481,gunsojo01,174,826,0.2106537530266344
3483,gustifr01,1214,4582,0.26494980357922304
3485,gutiece01,128,545,0.23486238532110093
3486,gutiefr01,778,3032,0.25659630606860157
3487,gutieja01,227,957,0.23719958202716823
3488,gutieri01,967,3632,0.26624449339207046
3489,guttedo01,1075,4202,0.2558305568776773
3490,guyerbr01,283,1097,0.25797629899726526
3491,guzmacr01,1459,5382,0.27108881456707545
3494,guzmaje01,249,1007,0.24726911618669314
3497,gwynnch01,263,1007,0.2611717974180735
3498,gwynnto01,3141,9288,0.3381782945736434
3499,gwynnto02,381,1600,0.238125
3500,gyorkje01,522,2133,0.24472573839662448
3503,haasbe01,644,2440,0.2639344262295082
3505,haasmu01,1257,4303,0.2921217755054613
3508,hackeme01,203,939,0.2161874334398296
3510,hackewa01,124,540,0.22962962962962963
3511,hackst01,2193,7278,0.30131904369332235
3514,hafeych01,1466,4625,0.316972972972973
3516,hafnetr01,1107,4058,0.2727944800394283
3517,haguebi01,303,1276,0.23746081504702193
3518,haguejo01,286,1195,0.2393305439330544
3521,hahndo01,235,997,0.23570712136409228
3522,hahned01,484,2045,0.23667481662591688
3525,hairsje01,438,1699,0.2577987051206592
3526,hairsje02,1126,4387,0.25666742648734897
3529,hairssc01,589,2431,0.24228712464006583
3534,halebo01,171,626,0.2731629392971246
3535,halech01,159,575,0.27652173913043476
3537,halejo01,137,681,0.2011747430249633
3538,haleod01,1071,3701,0.2893812483112672
3539,halesa01,880,2915,0.3018867924528302
3543,hallal02,202,805,0.25093167701863356
3547,halleto01,1011,3935,0.25692503176620074
3548,hallge01,538,1671,0.32196289646918014
3550,halliji01,218,760,0.2868421052631579
3551,hallijo01,207,737,0.2808683853459973
3553,hallir01,496,1904,0.2605042016806723
3555,hallji02,724,2848,0.2542134831460674
3557,hallmbi02,269,1147,0.23452484742807322
3558,hallme01,1171,4237,0.27637479348595706
3560,hallto02,616,2350,0.2621276595744681
3563,haltal01,204,854,0.2388758782201405
3567,hamelbo01,313,1272,0.2460691823899371
3568,hamilbi01,2164,6283,0.34442145471908325
3569,hamilbi02,492,1987,0.24760946149974836
3570,hamilda02,1333,4577,0.29123880270919816
3571,hamiljo03,1134,3909,0.2900997697620875
3574,hamlike01,323,1340,0.24104477611940298
3576,hammoje01,824,3032,0.2717678100263852
3588,handlle01,902,3356,0.2687723480333731
3590,haneyfr01,544,1977,0.2751643904906424
3591,haneyla01,198,919,0.21545157780195864
3593,hanfoch01,217,776,0.27963917525773196
3595,hanigry01,492,1959,0.25114854517611024
3598,hanlone01,1318,5087,0.25909180263416554
3599,hannaja01,381,1650,0.2309090909090909
3601,hannatr01,173,736,0.23505434782608695
3606,hanseda01,466,1793,0.2598996095928611
3609,hansero02,1007,4311,0.23358849454882857
3614,harbibi01,373,1510,0.24701986754966887
3621,hardyca01,251,1117,0.22470904207699194
3623,hardyjj01,1488,5805,0.2563307493540052
3626,hargrbu01,786,2533,0.3103039873667588
3627,hargrch01,321,1188,0.2702020202020202
3628,hargrmi01,1614,5564,0.29007907979870595
3629,hargrpi01,445,1601,0.27795128044971895
3630,harknti01,132,562,0.23487544483985764
3631,harledi01,755,2882,0.26197085357390704
3633,harmoch01,141,592,0.23817567567567569
3634,harmote01,262,1125,0.2328888888888889
3635,harpebr01,931,3151,0.29546175817200887
3637,harpebr03,785,2756,0.284833091436865
3638,harpege02,1030,3398,0.30311948204826367
3639,harpete01,371,1467,0.25289706884798907
3640,harpeto01,1609,6269,0.2566597543467858
3641,harrato01,1954,7402,0.26398270737638474
3643,harrebu01,1120,4744,0.23608768971332209
3645,harreke01,703,2941,0.23903434206052362
3649,harribr01,434,1694,0.256198347107438
3650,harribu01,1297,4736,0.2738597972972973
3653,harrich02,241,1012,0.2381422924901186
3654,harrida01,406,1447,0.2805805114029026
3657,harriga01,320,1331,0.24042073628850488
3658,harrije01,151,666,0.22672672672672672
3660,harrijo03,963,3035,0.31729818780889624
3663,harrine01,211,814,0.2592137592137592
3666,harrivi01,349,1610,0.21677018633540374
3667,harriwi01,580,2441,0.2376075378943056
3672,hartco01,1009,3729,0.2705819254491821
3677,hartji01,1052,3783,0.2780861749933915
3679,hartlgr01,353,1319,0.2676269901440485
3680,hartmfr01,623,2242,0.2778768956289028
3684,hartnga01,1912,6432,0.2972636815920398
3687,hartsro01,266,976,0.2725409836065574
3688,hartsto01,1336,4848,0.2755775577557756
3690,hartzro01,1146,4548,0.2519788918205805
3691,harveke01,273,998,0.27354709418837675
3694,haselbi01,416,1606,0.2590286425902864
3696,haslimi01,265,974,0.2720739219712526
3699,hassabi01,306,1059,0.28895184135977336
3700,hassebu01,1026,3517,0.2917259027580324
3701,hassero01,914,3440,0.26569767441860465
3704,hastisc01,371,1328,0.27936746987951805
3705,hatchbi01,1146,4339,0.2641161557962664
3707,hatfifr01,493,2039,0.24178518881804806
3708,hattesc01,1153,4226,0.2728348319924278
3710,hattogr01,1068,4206,0.25392296718972895
3712,hausear01,349,1468,0.23773841961852862
3713,hausejo01,580,2041,0.28417442430181283
3714,hausmge01,304,1136,0.2676056338028169
3716,hawesbi01,128,504,0.25396825396825395
3721,hawpebr01,806,2934,0.27471029311520107
3722,haydeja01,145,578,0.2508650519031142
3725,hayesch01,1379,5262,0.2620676548840745
